id;label;type;spatial_category;distance_to_focal_city_km;fid_africapolis_near_settlement;distance_to_next_settlement_km;size_africapolis_near_settlement;name_africapolis_near_settlement;classification_rural_urban;spatial_category_revised;travel_time_h
307;Dano                                                                                                ;cities and towns outside Greater Ouagadougou      ;national                                          ;214.992491;3705;1.007171697;21704;Dano                                              ;Urban                                             ;national                                          ;3.512027778
372;Koti                                                                                                ;cities and towns outside Greater Ouagadougou      ;national                                          ;197.648036;3705;28.6952056;21704;Dano                                              ;Rural                                             ;national                                          ;3.482638889
487;Kouloho                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;203.156602;3705;37.13905643;21704;Dano                                              ;Rural                                             ;national                                          ;3.119727778
529;Nakar                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;229.155683;3705;20.55094102;21704;Dano                                              ;Rural                                             ;national                                          ;4.081475
294;Dibougou                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;243.726286;3638;0.779852906;22148;Diebougou                                         ;Urban                                             ;national                                          ;4.165394444
295;Bonduigi                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;267.787337;3638;26.77316207;22148;Diebougou                                         ;Rural                                             ;national                                          ;4.589175
831;Di?bougou                                                                                           ;                                                  ;national                                          ;243.30732;3638;0.659477497;22148;Diebougou                                         ;Urban                                             ;national                                          ;4.178936111
698;Bagr?                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;145.634755;3557;0.857405205;22558;Dirlakou                                          ;Urban                                             ;national                                          ;2.9012
341;Boulsa                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;108.36751;3536;0.660866078;22768;Boulsa                                            ;Urban                                             ;national                                          ;2.688186111
432;Belga                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;126.728334;3536;26.68056712;22768;Boulsa                                            ;Rural                                             ;national                                          ;3.618147222
433;Zambanga                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;111.719552;3536;8.422938875;22768;Boulsa                                            ;Rural                                             ;national                                          ;2.978147222
824;Bonam                                                                                               ;                                                  ;national                                          ;108.715849;3536;12.13394163;22768;Boulsa                                            ;Rural                                             ;national                                          ;3.081875
299;Sgunga                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;127.227561;3458;0.437851269;23179;Seguenega                                         ;Urban                                             ;national                                          ;3.102391667
375;Kalsaka                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;102.614876;3458;28.53058979;23179;Seguenega                                         ;Rural                                             ;national                                          ;2.687327778
377;Kossouka                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;117.708835;3458;10.40851245;23179;Seguenega                                         ;Rural                                             ;national                                          ;2.802575
498;Mogombouli                                                                                          ;cities and towns outside Greater Ouagadougou      ;national                                          ;147.47113;3458;24.51950694;23179;Seguenega                                         ;Rural                                             ;national                                          ;3.577241667
428;Mene                                                                                                ;cities and towns outside Greater Ouagadougou      ;national                                          ;185.69839;3278;28.03794092;24292;Titao                                             ;Rural                                             ;national                                          ;3.966530556
490;You                                                                                                 ;cities and towns outside Greater Ouagadougou      ;national                                          ;162.008461;3278;10.43245525;24292;Titao                                             ;Rural                                             ;national                                          ;3.532858333
497;Mene                                                                                                ;cities and towns outside Greater Ouagadougou      ;national                                          ;185.69839;3278;28.03794092;24292;Titao                                             ;Rural                                             ;national                                          ;3.966530556
532;Titao                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;165.828155;3278;0.285372372;24292;Titao                                             ;Urban                                             ;national                                          ;3.722763889
854;Rambo                                                                                               ;                                                  ;national                                          ;151.654763;3278;18.32022814;24292;Titao                                             ;Rural                                             ;national                                          ;3.887230556
418;Baguera                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;470.424232;3158;26.86027043;25139;Zegoua                                            ;Rural                                             ;national                                          ;7.256113889
394;Diontala                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;326.268465;3135;19.92396631;25262;Kouka                                             ;Rural                                             ;national                                          ;5.757213889
395;Fini                                                                                                ;cities and towns outside Greater Ouagadougou      ;national                                          ;317.304019;3135;10.61995738;25262;Kouka                                             ;Rural                                             ;national                                          ;6.092627778
396;Sama                                                                                                ;cities and towns outside Greater Ouagadougou      ;national                                          ;311.85372;3135;14.15181717;25262;Kouka                                             ;Rural                                             ;national                                          ;6.224702778
480;Djigouema                                                                                           ;cities and towns outside Greater Ouagadougou      ;national                                          ;309.824146;3135;25.60848314;25262;Kouka                                             ;Rural                                             ;national                                          ;5.762113889
483;Bossora                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;288.737881;3135;34.27768502;25262;Kouka                                             ;Rural                                             ;national                                          ;5.942808333
547;Kouka                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;310.696435;3135;0.963830776;25262;Kouka                                             ;Urban                                             ;national                                          ;6.192225
381;Zorgho                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;98.50327;3108;0.452471055;25484;Zorgho                                            ;Urban                                             ;national                                          ;1.289611111
329;Bitou                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;180.836094;2967;0.35562142;26736;Bittou                                            ;Urban                                             ;national                                          ;2.960177778
421;Loaba                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;172.890127;2967;14.50912004;26736;Bittou                                            ;Rural                                             ;national                                          ;
